Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2026-05-06 00:00:00,80905.53,81262.28,80731.14,81030.01,876.19915,2026-05-06 00:59:59.999,70968679.4386151,110959.0,636.67979,51567109.227159,0.0
2026-05-06 01:00:00,81030.0,81534.23,80996.0,81439.34,803.82574,2026-05-06 01:59:59.999,65366448.8333712,103569.0,580.57502,47213605.0731816,0.0
2026-05-06 02:00:00,81439.34,81449.04,81047.01,81363.54,621.19491,2026-05-06 02:59:59.999,50466176.1410706,78385.0,349.43243,28387965.2594198,0.0
2026-05-06 03:00:00,81363.54,81760.84,81358.17,81581.69,710.52364,2026-05-06 03:59:59.999,57939766.423936,109321.0,415.85632,33911043.2237935,0.0
2026-05-06 04:00:00,81581.7,81649.99,81270.0,81331.1,575.6413,2026-05-06 04:59:59.999,46902387.4113849,93124.0,259.61557,21155394.8062765,0.0
2026-05-06 05:00:00,81331.1,81360.3,81060.0,81333.0,592.1865,2026-05-06 05:59:59.999,48102689.9454803,84618.0,300.16925,24388687.5839213,0.0
2026-05-06 06:00:00,81333.0,81516.9,81211.34,81476.71,524.1354,2026-05-06 06:59:59.999,42655704.2149638,70575.0,248.97453,20261295.1368134,0.0
2026-05-06 07:00:00,81476.71,81611.0,81307.81,81359.82,608.74333,2026-05-06 07:59:59.999,49588869.0441816,87612.0,245.58602,20008180.208651,0.0
2026-05-06 08:00:00,81359.82,81986.0,81328.68,81945.66,1353.41416,2026-05-06 08:59:59.999,110643623.9795944,156787.0,691.64025,56552195.0814155,0.0
2026-05-06 09:00:00,81945.66,82060.0,81682.7,81997.0,1096.7335,2026-05-06 09:59:59.999,89833586.8547738,130505.0,606.07461,49650203.4210255,0.0
2026-05-06 10:00:00,81997.0,82390.0,81953.25,82290.04,1302.85091,2026-05-06 10:59:59.999,107072448.783714,140037.0,751.58567,61769355.1696268,0.0
2026-05-06 11:00:00,82290.03,82850.0,82261.6,82522.89,1435.93329,2026-05-06 11:59:59.999,118605240.5147293,156288.0,835.21483,68985039.5089301,0.0
2026-05-06 12:00:00,82522.88,82539.33,82164.61,82220.47,820.9281,2026-05-06 12:59:59.999,67597251.0879828,128547.0,379.28326,31231484.7655648,0.0
2026-05-06 13:00:00,82220.47,82220.47,81600.0,81670.89,1247.90169,2026-05-06 13:59:59.999,102215660.2698548,256327.0,545.86266,44720782.6564697,0.0
2026-05-06 14:00:00,81670.9,81980.72,81136.0,81526.73,1615.07708,2026-05-06 14:59:59.999,131688079.3175765,263483.0,730.71193,59583706.8722826,0.0
2026-05-06 15:00:00,81526.74,81823.0,81316.28,81704.25,824.75333,2026-05-06 15:59:59.999,67297615.6214672,144650.0,409.78243,33441480.078845,0.0
2026-05-06 16:00:00,81704.25,81907.51,81431.16,81630.94,983.55485,2026-05-06 16:59:59.999,80356406.8573912,121435.0,624.45329,51033688.3191611,0.0
2026-05-06 17:00:00,81630.94,81709.32,81394.0,81452.63,417.39237,2026-05-06 17:59:59.999,34026753.1315471,100728.0,203.79538,16615720.4720723,0.0
2026-05-06 18:00:00,81452.63,81559.17,81271.06,81353.14,451.84587,2026-05-06 18:59:59.999,36787845.6110014,92193.0,207.03293,16858874.579848,0.0
2026-05-06 19:00:00,81353.15,81522.41,81200.0,81464.87,517.12437,2026-05-06 19:59:59.999,42074504.4411322,79252.0,299.7371,24388619.6062953,0.0
2026-05-06 20:00:00,81464.86,81700.0,81302.35,81427.52,436.46876,2026-05-06 20:59:59.999,35571219.9242229,74219.0,233.7136,19051812.7988058,0.0
